                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    105,                0.62647,                 1.4137,                0.59352,                 1.0883,                0.99263,                0.97222,                0.97323,                0.88116,                0.99263,                0.97222,                0.97323,                0.84356,                0.42056,                0.52118,                0.39088,                0.98892,              0.0003284,              0.0003284,              0.0003284
                    106,                0.59937,                 1.3086,                0.57406,                   1.05,                0.98995,                0.97222,                0.97234,                0.87227,                0.98995,                0.97222,                0.97234,                0.84502,                0.44054,                0.52368,                0.34159,                 1.0132,             0.00032675,             0.00032675,             0.00032675
                    107,                0.53451,                  1.054,                  0.533,                 1.0058,                0.99237,                0.97222,                0.97232,                0.88572,                0.99237,                0.97222,                0.97232,                0.81289,                0.40818,                0.53135,                0.36414,                0.97641,              0.0003251,              0.0003251,              0.0003251
                    108,                0.53076,                 1.1023,                0.53227,                 1.0185,                0.99318,                0.97222,                0.97283,                0.87632,                0.96373,                0.94444,                0.92804,                0.80605,                0.41176,                 0.5441,                0.35891,                0.96709,             0.00032345,             0.00032345,             0.00032345
                    109,                0.53452,                 1.2825,                0.61723,                 1.0207,                0.99228,                0.97222,                 0.9728,                0.86483,                0.99228,                0.97222,                 0.9728,                0.83269,                0.40461,                0.49223,                0.33997,                0.98087,              0.0003218,              0.0003218,              0.0003218
                    110,                0.60982,                 1.2208,                0.61282,                 1.0951,                0.97717,                0.97222,                0.97338,                0.90083,                0.97717,                0.97222,                0.97338,                0.85712,                 0.3951,                0.54539,                0.36519,                0.99485,             0.00032015,             0.00032015,             0.00032015
                    111,                 0.6124,                 1.3565,                0.64203,                 1.0882,                 0.9889,                0.97222,                0.97138,                 0.9051,                 0.9889,                0.97222,                0.97138,                0.85073,                0.40158,                0.59207,                 0.3767,                0.99879,              0.0003185,              0.0003185,              0.0003185
                    112,                0.56509,                 1.2881,                0.64362,                 1.0292,                0.99373,                0.97222,                0.97083,                0.89284,                0.99373,                0.97222,                0.97083,                0.85486,                0.40504,                0.53635,                 0.3202,                0.99931,             0.00031685,             0.00031685,             0.00031685
                    113,                0.50083,                 1.1245,                0.52902,                 1.0233,                0.99312,                0.97222,                0.97051,                0.90567,                 0.9639,                0.94444,                0.91663,                0.80901,                0.38408,                0.67731,                0.33495,                0.96514,              0.0003152,              0.0003152,              0.0003152
                    114,                0.51533,                 1.1978,                 0.5556,                 1.0244,                0.99434,                0.97222,                0.97049,                0.88265,                0.99434,                0.97222,                0.97049,                0.83915,                0.41091,                0.52333,                0.35749,                0.98095,             0.00031355,             0.00031355,             0.00031355
                    115,                0.53172,                 1.2222,                0.51865,                 1.0505,                0.99267,                0.97222,                0.97088,                0.88058,                0.99267,                0.97222,                0.97088,                0.84045,                0.40141,                0.52943,                0.33959,                0.95798,              0.0003119,              0.0003119,              0.0003119
                    116,                 0.5242,                 1.1848,                0.53565,                 1.0274,                0.99356,                0.97222,                 0.9719,                0.84475,                0.99356,                0.97222,                 0.9719,                0.81606,                0.38562,                0.55764,                0.34265,                 0.9433,             0.00031025,             0.00031025,             0.00031025
                    117,                0.47079,                  1.097,                 0.4873,                0.99198,                0.99444,                0.97222,                0.97534,                0.87851,                0.99444,                0.97222,                0.97534,                0.85691,                0.43091,                 0.5028,                0.37718,                0.97818,              0.0003086,              0.0003086,              0.0003086
                    118,                0.50516,                 1.1261,                0.50969,                 1.0426,                0.97111,                0.97222,                 0.9774,                0.88644,                0.97111,                0.97222,                 0.9774,                0.85723,                0.40656,                0.55841,                0.37493,                0.96059,             0.00030695,             0.00030695,             0.00030695
                    119,                0.55331,                  1.276,                0.52059,                 1.0367,                0.93846,                0.97222,                0.96351,                0.87267,                0.93846,                0.97222,                0.96351,                0.84302,                0.42657,                0.55989,                0.39243,                0.97642,              0.0003053,              0.0003053,              0.0003053
                    120,                0.51332,                 1.0357,                0.47835,                 1.0212,                0.93904,                0.97222,                0.96954,                0.88848,                0.93904,                0.97222,                0.96954,                0.84812,                0.39061,                 0.5126,                0.33772,                0.95609,             0.00030365,             0.00030365,             0.00030365
                    121,                 0.5282,                 1.1628,                0.56144,                 1.0429,                0.93948,                0.97222,                0.94756,                0.86979,                0.93948,                0.97222,                0.94756,                0.81737,                0.38791,                0.55617,                0.34065,                0.96067,               0.000302,               0.000302,               0.000302
                    122,                0.56282,                 1.2891,                0.56597,                 1.0513,                0.93867,                0.97222,                0.95433,                0.88395,                0.93867,                0.97222,                0.95433,                0.82087,                0.38671,                0.53809,                0.34398,                0.96405,             0.00030035,             0.00030035,             0.00030035
                    123,                0.56732,                  1.197,                 0.5096,                 1.0668,                0.98136,                0.97222,                0.97478,                 0.9012,                0.98136,                0.97222,                0.97478,                0.85476,                0.41128,                0.71724,                0.37156,                0.96625,              0.0002987,              0.0002987,              0.0002987
                    124,                0.51743,                 1.2042,                0.55067,                 1.0123,                0.90244,                0.97222,                 0.9652,                0.84496,                0.90244,                0.97222,                 0.9652,                0.84976,                0.45708,                0.72219,                0.52758,                 0.9769,             0.00029705,             0.00029705,             0.00029705
                    125,                0.59014,                 1.2253,                0.55128,                 1.0819,                0.93472,                0.97222,                 0.9164,                0.82994,                0.93472,                0.97222,                 0.9164,                0.79635,                0.41488,                0.53098,                0.43313,                0.96917,              0.0002954,              0.0002954,              0.0002954
                    126,                0.54075,                 1.1162,                0.51158,                 1.0396,                0.93561,                0.97222,                0.92276,                0.85742,                0.93561,                0.97222,                0.92276,                0.80547,                0.36474,                0.54259,                0.40114,                 0.9406,             0.00029375,             0.00029375,             0.00029375
                    127,                0.45335,                 1.0835,                0.45171,                0.98938,                0.96547,                0.97222,                0.97205,                0.90228,                0.96547,                0.97222,                0.97205,                0.87491,                0.37693,                0.54474,                0.33443,                0.94489,              0.0002921,              0.0002921,              0.0002921
                    128,                0.58091,                  1.277,                0.56512,                 1.0569,                0.98604,                0.97222,                 0.9737,                0.88082,                0.98604,                0.97222,                 0.9737,                0.83655,                 0.4101,                0.86743,                0.33276,                 0.9681,             0.00029045,             0.00029045,             0.00029045
                    129,                0.50724,                 1.2744,                0.49833,                 1.0295,                0.99043,                0.97222,                0.97239,                0.87299,                0.96109,                0.94444,                0.93848,                0.80806,                0.41509,                0.86006,                0.35647,                0.97702,              0.0002888,              0.0002888,              0.0002888
                    130,                0.49905,                 1.2282,                0.55009,                 1.0204,                0.93747,                0.97222,                0.97255,                0.89779,                0.93747,                0.97222,                0.97255,                0.86618,                0.38746,                0.60211,                0.34469,                0.96311,             0.00028715,             0.00028715,             0.00028715
                    131,                0.53059,                 1.3004,                0.53313,                 1.0223,                 0.9341,                0.97222,                0.95157,                0.86595,                 0.9341,                0.97222,                0.95157,                0.82524,                0.38943,                0.67149,                 0.3655,                0.97428,              0.0002855,              0.0002855,              0.0002855
                    132,                0.53171,                 1.3176,                0.54471,                 1.0403,                0.98488,                0.97222,                0.97261,                0.89381,                0.98488,                0.97222,                0.97261,                0.84304,                0.39717,                0.60505,                0.33688,                0.97886,             0.00028385,             0.00028385,             0.00028385
                    133,                0.46275,                 1.2372,                0.49212,                 0.9841,                0.98977,                0.97222,                0.97277,                 0.8965,                0.98977,                0.97222,                0.97277,                0.84259,                0.39272,                0.61438,                0.32265,                0.97022,              0.0002822,              0.0002822,              0.0002822
                    134,                0.51569,                 1.3469,                0.49741,                 1.0068,                0.98867,                0.97222,                0.97244,                0.90825,                0.98867,                0.97222,                0.97244,                0.85118,                0.35378,                0.53539,                0.30628,                0.94819,             0.00028055,             0.00028055,             0.00028055
                    135,                0.49513,                 1.1386,                0.47479,                0.99407,                0.93181,                0.97222,                0.95179,                0.88646,                0.93181,                0.97222,                0.95179,                0.81268,                0.34404,                0.54312,                 0.3351,                0.93497,              0.0002789,              0.0002789,              0.0002789
                    136,                0.50324,                 1.1739,                0.51674,                 1.0051,                0.93997,                0.97222,                 0.9228,                0.84336,                0.93997,                0.97222,                 0.9228,                0.77292,                0.34935,                0.58649,                0.38003,                0.93199,             0.00027725,             0.00027725,             0.00027725
                    137,                0.52125,                 1.1741,                0.51709,                 1.0346,                0.92824,                0.90972,                0.90654,                0.82711,                0.89893,                0.88194,                0.87353,                0.74603,                0.36228,                0.81658,                0.36379,                0.94963,              0.0002756,              0.0002756,              0.0002756
                    138,                0.48489,                 1.1443,                0.46059,                  1.024,                0.93877,                0.97222,                0.96133,                0.88234,                0.90953,                0.94444,                0.93221,                 0.8349,                0.34996,                0.64293,                0.32668,                0.93539,             0.00027395,             0.00027395,             0.00027395
                    139,                0.46885,                 1.0387,                0.45082,                      1,                0.99718,                0.96858,                 0.9762,                0.89105,                0.99718,                0.96858,                 0.9762,                0.86427,                0.36225,                0.62499,                0.31735,                0.94438,              0.0002723,              0.0002723,              0.0002723
                    140,                0.49529,                 1.0936,                0.47475,                 1.0074,                0.99337,                0.97222,                0.97791,                0.88372,                0.99337,                0.97222,                0.97791,                0.88053,                0.36556,                0.55319,                0.29602,                0.95457,             0.00027065,             0.00027065,             0.00027065
                    141,                0.49841,                 1.0713,                0.46963,                 1.0111,                0.99311,                0.97222,                0.97695,                0.89088,                0.99311,                0.97222,                0.97695,                 0.8741,                0.38607,                0.52209,                0.29561,                 0.9601,               0.000269,               0.000269,               0.000269
                    142,                0.50487,                 1.2308,                0.51465,                0.99392,                0.99294,                0.97222,                 0.9745,                0.89467,                0.99294,                0.97222,                 0.9745,                0.86273,                0.36829,                0.53674,                0.28068,                0.94505,             0.00026735,             0.00026735,             0.00026735
                    143,                0.50841,                 1.1016,                0.50323,                 1.0249,                0.93943,                0.97222,                0.93822,                0.87442,                0.93943,                0.97222,                0.93822,                 0.8174,                0.37613,                0.61585,                 0.3711,                0.92412,              0.0002657,              0.0002657,              0.0002657
                    144,                0.52993,                 1.1887,                0.53739,                 1.0114,                0.93769,                0.97222,                0.95197,                0.88923,                0.93769,                0.97222,                0.95197,                0.81749,                0.36444,                0.64364,                0.35031,                0.92583,             0.00026405,             0.00026405,             0.00026405
                    145,                0.51423,                 1.0888,                0.49649,                 1.0113,                0.93959,                0.97222,                0.97376,                0.88966,                0.93959,                0.97222,                0.97376,                0.84529,                0.38152,                0.62422,                0.33876,                0.93935,              0.0002624,              0.0002624,              0.0002624
                    146,                0.51871,                 1.0669,                0.49028,                 1.0101,                0.98617,                0.97222,                0.97255,                0.89645,                0.98617,                0.97222,                0.97255,                0.84961,                0.38593,                0.54644,                0.31874,                  0.942,             0.00026075,             0.00026075,             0.00026075
                    147,                0.48724,                 1.2652,                 0.4632,                 1.0233,                0.99392,                0.97222,                 0.9727,                0.91548,                0.99392,                0.97222,                 0.9727,                0.86026,                0.36266,                 0.5311,                0.30195,                0.93037,              0.0002591,              0.0002591,              0.0002591
                    148,                0.49581,                 1.1236,                0.46925,                 1.0208,                0.99269,                0.97222,                0.97264,                0.91212,                0.99269,                0.97222,                0.97264,                0.84561,                0.35706,                  0.565,                 0.2941,                0.92951,             0.00025745,             0.00025745,             0.00025745
                    149,                0.50822,                 1.2227,                0.51695,                 1.0175,                0.98996,                0.97222,                0.97441,                0.90974,                0.98996,                0.97222,                0.97441,                0.86778,                 0.4171,                  0.605,                0.30573,                0.96549,              0.0002558,              0.0002558,              0.0002558
                    150,                 0.4979,                 1.1323,                0.46637,                 1.0028,                0.93896,                0.97222,                0.95403,                0.87952,                0.93896,                0.97222,                0.95403,                0.85055,                 0.3918,                0.64109,                0.32276,                0.94905,             0.00025415,             0.00025415,             0.00025415
                    151,                0.49255,                 1.0122,                0.47545,                 1.0367,                0.93849,                0.97222,                0.95403,                0.88043,                0.93849,                0.97222,                0.95403,                0.85011,                0.36806,                 0.5806,                0.30894,                0.92839,              0.0002525,              0.0002525,              0.0002525
                    152,                0.47102,                 1.1104,                0.47524,                 1.0138,                  0.939,                0.97222,                0.95292,                0.88096,                  0.939,                0.97222,                0.95292,                0.84418,                 0.3831,                0.56195,                0.33873,                0.93908,             0.00025085,             0.00025085,             0.00025085
                    153,                0.46483,                 1.1101,                0.44256,                0.98819,                0.98443,                0.97222,                0.97323,                0.88688,                0.98443,                0.97222,                0.97323,                0.83388,                0.38643,                0.53956,                0.29737,                0.94145,              0.0002492,              0.0002492,              0.0002492
                    154,                0.46088,                0.95692,                 0.4099,                0.99274,                0.99371,                0.97222,                 0.9737,                 0.9082,                0.99371,                0.97222,                 0.9737,                 0.8366,                0.36992,                0.52066,                0.26895,                0.93786,             0.00024755,             0.00024755,             0.00024755
                    155,                0.45692,                0.95447,                0.46049,                0.98911,                0.99332,                0.97222,                0.97675,                0.87622,                0.99332,                0.97222,                0.97675,                0.83425,                0.38257,                0.50569,                  0.304,                0.94851,              0.0002459,              0.0002459,              0.0002459
                    156,                0.49213,                   0.99,                0.48964,                 1.0085,                0.99364,                0.97222,                0.97675,                 0.9009,                0.99364,                0.97222,                0.97675,                0.85438,                0.40108,                0.53881,                0.29189,                0.96719,             0.00024425,             0.00024425,             0.00024425
                    157,                 0.4736,                 1.0885,                0.45143,                0.98455,                0.99437,                0.97222,                0.97695,                0.89341,                0.99437,                0.97222,                0.97695,                0.86001,                0.39991,                0.52801,                0.28233,                0.97152,              0.0002426,              0.0002426,              0.0002426
                    158,                0.47588,                 1.2083,                0.43906,                0.99619,                0.98599,                0.97222,                 0.9774,                0.90348,                0.98599,                0.97222,                 0.9774,                0.83901,                0.39962,                0.55343,                0.32757,                0.96728,             0.00024095,             0.00024095,             0.00024095
                    159,                 0.4763,                 1.0344,                0.42072,                0.99068,                0.93993,                0.97222,                0.96907,                0.86928,                0.93993,                0.97222,                0.96907,                0.81171,                0.41736,                0.56859,                0.35326,                 0.9916,              0.0002393,              0.0002393,              0.0002393
                    160,                0.46959,                 1.0531,                 0.4947,                0.99395,                 0.9393,                0.97222,                0.93216,                0.84019,                 0.9393,                0.97222,                0.93216,                0.78951,                0.41437,                0.61501,                0.38571,                 1.0001,             0.00023765,             0.00023765,             0.00023765
                    161,                0.49005,                 1.3043,                0.47309,                  1.025,                0.93954,                0.97222,                0.93898,                0.84523,                0.93954,                0.97222,                0.93898,                0.81981,                 0.4103,                0.65681,                0.36659,                 1.0009,               0.000236,               0.000236,               0.000236
                    162,                0.47814,                 1.1385,                 0.4751,                0.99652,                0.96844,                0.97222,                 0.9751,                0.90926,                0.96844,                0.97222,                 0.9751,                0.87505,                0.37633,                0.60073,                0.32608,                0.93839,             0.00023435,             0.00023435,             0.00023435
                    163,                0.46933,                 1.0229,                0.45917,                0.98022,                0.98573,                0.97222,                0.97433,                0.92355,                0.98573,                0.97222,                0.97433,                0.85535,                0.35394,                0.55444,                0.29712,                0.93956,              0.0002327,              0.0002327,              0.0002327
                    164,                0.46209,                 1.2732,                0.47382,                0.98076,                0.99856,                0.95127,                0.97441,                0.91698,                0.99856,                0.95127,                0.97441,                 0.8595,                0.36043,                0.60521,                0.30906,                0.94427,             0.00023105,             0.00023105,             0.00023105
                    165,                0.47943,                 1.0737,                0.45281,                 1.0096,                0.93705,                0.97222,                0.96802,                0.92739,                0.93705,                0.97222,                0.96802,                0.85799,                0.35025,                0.70181,                0.31901,                0.94377,              0.0002294,              0.0002294,              0.0002294
                    166,                0.48464,                 1.0741,                0.52986,                 1.0028,                0.94217,                0.97222,                 0.9745,                0.92115,                0.94217,                0.97222,                 0.9745,                 0.8681,                0.35558,                0.56108,                0.33352,                0.95244,             0.00022775,             0.00022775,             0.00022775
                    167,                0.47635,                 1.2209,                0.45747,                 1.0065,                0.95147,                0.97222,                0.97478,                0.91192,                0.95147,                0.97222,                0.97478,                0.84982,                0.33444,                0.57781,                0.32157,                0.95677,              0.0002261,              0.0002261,              0.0002261
                    168,                0.46351,                0.99905,                0.49554,                0.98692,                0.96838,                0.97222,                 0.9737,                0.90232,                0.96838,                0.97222,                 0.9737,                0.84262,                 0.3555,                0.60068,                0.33145,                0.95299,             0.00022445,             0.00022445,             0.00022445
                    169,                0.47241,                 1.0326,                0.48403,                  1.014,                0.96119,                0.97222,                0.97287,                0.86091,                0.96119,                0.97222,                0.97287,                0.84452,                0.42375,                0.67112,                0.38575,                 1.0098,              0.0002228,              0.0002228,              0.0002228
                    170,                0.46705,                 1.0212,                0.44049,                0.99653,                0.97121,                0.97222,                0.97283,                0.89189,                0.97121,                0.97222,                0.97283,                0.84595,                 0.3736,                0.64062,                 0.3478,                0.98413,             0.00022115,             0.00022115,             0.00022115
                    171,                0.49569,                 1.0739,                0.46273,                   1.01,                0.98498,                0.97222,                0.97425,                0.89063,                0.98498,                0.97222,                0.97425,                0.83094,                0.38095,                0.59526,                0.30758,                0.98176,              0.0002195,              0.0002195,              0.0002195
                    172,                0.45752,                0.99439,                0.44079,                0.97195,                0.98197,                0.97222,                 0.9751,                0.88688,                0.98197,                0.97222,                 0.9751,                0.85615,                0.37678,                0.58528,                0.32302,                0.96704,             0.00021785,             0.00021785,             0.00021785
                    173,                0.45337,                  1.117,                0.42462,                0.98538,                0.94195,                0.97222,                0.97441,                0.88967,                0.94195,                0.97222,                0.97441,                0.84395,                0.39133,                0.64423,                0.33009,                0.95456,              0.0002162,              0.0002162,              0.0002162
                    174,                0.56345,                 1.1751,                0.51096,                 1.0356,                0.94173,                0.97222,                0.97546,                0.89613,                0.94173,                0.97222,                0.97546,                0.85873,                0.37955,                0.62465,                0.33034,                0.93409,             0.00021455,             0.00021455,             0.00021455
                    175,                0.49499,                 1.1514,                0.44166,                0.99518,                0.93958,                0.97222,                0.97074,                0.90797,                0.93958,                0.97222,                0.97074,                0.84269,                 0.3583,                0.62445,                0.30391,                0.91766,              0.0002129,              0.0002129,              0.0002129
                    176,                0.44503,                0.98027,                0.41601,                0.97041,                0.93887,                0.97222,                0.97183,                0.90735,                0.93887,                0.97222,                0.97183,                0.85534,                0.37057,                0.62364,                0.30156,                0.93233,             0.00021125,             0.00021125,             0.00021125
                    177,                0.45005,                 1.0625,                0.46159,                0.98431,                0.93998,                0.97222,                0.96431,                0.88674,                0.93998,                0.97222,                0.96431,                0.85863,                0.37071,                0.65318,                0.32583,                0.93501,              0.0002096,              0.0002096,              0.0002096
                    178,                0.42961,                0.93445,                0.39885,                0.96276,                0.94012,                0.97222,                0.94321,                0.86741,                0.94012,                0.97222,                0.94321,                0.82405,                0.36238,                0.64585,                0.32509,                0.93408,             0.00020795,             0.00020795,             0.00020795
                    179,                0.45091,                 1.1156,                0.42494,                 0.9796,                 0.9401,                0.97222,                0.94826,                0.85815,                 0.9401,                0.97222,                0.94826,                0.82502,                 0.3498,                0.60764,                0.31488,                0.92945,              0.0002063,              0.0002063,              0.0002063
                    180,                0.41806,                 1.0453,                0.41522,                0.97628,                0.94002,                0.97222,                0.96121,                0.87968,                0.94002,                0.97222,                0.96121,                0.82405,                0.33799,                0.56327,                0.29653,                0.92355,             0.00020465,             0.00020465,             0.00020465
                    181,                0.41171,                  1.034,                0.44154,                0.97735,                0.94111,                0.97222,                 0.9756,                0.89682,                0.94111,                0.97222,                 0.9756,                0.84208,                0.34272,                0.54942,                0.29288,                 0.9164,               0.000203,               0.000203,               0.000203
                    182,                0.42515,                 0.9223,                0.43644,                0.96949,                0.93858,                0.97222,                0.97499,                0.91627,                0.93858,                0.97222,                0.97499,                0.85524,                0.35734,                0.56911,                0.30423,                  0.921,             0.00020135,             0.00020135,             0.00020135
                    183,                0.43337,                 1.0204,                0.39757,                0.98725,                0.94025,                0.97222,                0.97695,                0.89029,                0.94025,                0.97222,                0.97695,                0.84977,                0.36163,                0.62409,                0.29159,                0.92247,              0.0001997,              0.0001997,              0.0001997
                    184,                0.44248,                 1.0427,                0.43124,                 1.0012,                 0.9388,                0.97222,                0.95685,                0.88961,                 0.9388,                0.97222,                0.95685,                0.83768,                 0.3637,                0.65493,                0.31224,                0.92786,             0.00019805,             0.00019805,             0.00019805
                    185,                 0.4431,                  1.013,                0.42777,                0.99016,                0.93908,                0.97222,                0.92986,                0.86753,                0.93908,                0.97222,                0.92986,                0.81024,                0.35107,                0.64043,                0.32291,                0.92122,              0.0001964,              0.0001964,              0.0001964
                    186,                0.40392,                0.91868,                0.39082,                0.97331,                0.94027,                0.97222,                0.92264,                0.84161,                0.94027,                0.97222,                0.92264,                0.79745,                0.37048,                0.61616,                0.34585,                0.94245,             0.00019475,             0.00019475,             0.00019475
                    187,                0.44863,                 1.0117,                0.46533,                0.98308,                0.93895,                0.97222,                0.93017,                0.86013,                0.93895,                0.97222,                0.93017,                0.80857,                0.37289,                0.65749,                0.36557,                0.95072,              0.0001931,              0.0001931,              0.0001931
                    188,                0.46751,                 1.0961,                 0.4379,                 1.0008,                0.93883,                0.97222,                 0.9514,                0.87908,                0.93883,                0.97222,                 0.9514,                 0.8322,                0.38265,                0.63474,                0.35638,                0.96067,             0.00019145,             0.00019145,             0.00019145
                    189,                0.41813,                0.97803,                 0.4266,                0.96432,                0.94015,                0.97222,                0.94296,                0.86898,                0.94015,                0.97222,                0.94296,                0.82177,                0.36841,                0.67255,                0.33884,                0.95511,              0.0001898,              0.0001898,              0.0001898
                    190,                0.41751,                0.94671,                0.40594,                0.96094,                0.93853,                0.97222,                0.94796,                0.88585,                0.93853,                0.97222,                0.94796,                0.82784,                 0.3509,                0.69393,                0.32311,                0.93871,             0.00018815,             0.00018815,             0.00018815
                    191,                0.43867,                0.98684,                0.41462,                0.99722,                0.93783,                0.97222,                0.95466,                0.88965,                0.93783,                0.97222,                0.95466,                0.82789,                0.35865,                0.63985,                0.31833,                0.93427,              0.0001865,              0.0001865,              0.0001865
                    192,                0.41617,                 1.0354,                0.38809,                0.96589,                0.93793,                0.97222,                0.95491,                0.89629,                0.93793,                0.97222,                0.95491,                0.83816,                0.35771,                 0.6099,                0.30471,                0.92986,             0.00018485,             0.00018485,             0.00018485
                    193,                 0.4651,                 1.0873,                0.43416,                0.99038,                0.94014,                0.97222,                  0.956,                0.90026,                0.94014,                0.97222,                  0.956,                0.84279,                0.35239,                0.60123,                0.31314,                0.92418,              0.0001832,              0.0001832,              0.0001832
                    194,                 0.4603,                 1.1061,                0.43695,                0.99695,                 0.9394,                0.97222,                0.93311,                0.87853,                 0.9394,                0.97222,                0.93311,                0.81569,                0.33279,                0.65395,                0.31686,                0.90435,             0.00018155,             0.00018155,             0.00018155
                    195,                0.46893,                 1.0307,                  0.433,                0.97527,                 0.9394,                0.97222,                0.94721,                0.87168,                 0.9394,                0.97222,                0.94721,                0.83804,                0.34626,                0.70915,                0.29666,                0.90979,              0.0001799,              0.0001799,              0.0001799
                    196,                0.46288,                 1.0235,                0.40647,                 1.0048,                 0.9384,                0.97222,                0.94691,                0.86398,                 0.9384,                0.97222,                0.94691,                0.83211,                0.37205,                0.73801,                0.29493,                0.92016,             0.00017825,             0.00017825,             0.00017825
                    197,                0.46324,                 1.0337,                  0.432,                  1.004,                0.93907,                0.97222,                0.95403,                 0.8741,                0.93907,                0.97222,                0.95403,                0.83186,                0.36691,                0.70752,                0.28691,                0.92054,              0.0001766,              0.0001766,              0.0001766
                    198,                 0.4349,                0.94469,                0.41373,                0.99466,                0.94095,                0.97222,                0.97574,                0.91673,                0.94095,                0.97222,                0.97574,                0.85437,                 0.3508,                0.82518,                0.30474,                0.90312,             0.00017495,             0.00017495,             0.00017495
                    199,                 0.3865,                0.90427,                0.38619,                 0.9276,                0.93949,                0.97222,                0.96775,                0.90766,                0.93949,                0.97222,                0.96775,                0.84922,                0.34428,                 0.6091,                0.32156,                0.89838,              0.0001733,              0.0001733,              0.0001733
                    200,                0.44028,                 1.1343,                0.44066,                0.97774,                0.93913,                0.97222,                0.96652,                0.89287,                0.93913,                0.97222,                0.96652,                0.84126,                0.34585,                 0.6171,                0.34298,                0.90454,             0.00017165,             0.00017165,             0.00017165
                    201,                0.43737,                0.98769,                 0.4289,                0.94351,                0.93797,                0.97222,                0.97328,                0.89853,                0.93797,                0.97222,                0.97328,                0.84531,                0.38649,                0.65908,                0.34887,                0.94032,                0.00017,                0.00017,                0.00017
                    202,                0.41159,                0.84102,                0.35347,                 0.9377,                0.93685,                0.97222,                 0.9597,                0.91215,                0.93685,                0.97222,                 0.9597,                0.82631,                0.37229,                0.69092,                0.33855,                0.93927,             0.00016835,             0.00016835,             0.00016835
                    203,                0.41077,                0.83295,                0.42842,                0.96243,                0.93917,                0.97222,                0.96822,                0.91182,                0.93917,                0.97222,                0.96822,                0.84322,                0.35892,                0.70483,                0.31588,                0.92625,              0.0001667,              0.0001667,              0.0001667
                    204,                0.43294,                0.98178,                0.37962,                0.95005,                0.93976,                0.97222,                0.96811,                0.90834,                0.93976,                0.97222,                0.96811,                0.84273,                0.35968,                0.71221,                0.29819,                0.92645,             0.00016505,             0.00016505,             0.00016505
                    205,                0.40883,                 1.0603,                0.37537,                0.95375,                 0.9396,                0.97222,                0.95403,                0.87279,                 0.9396,                0.97222,                0.95403,                0.83367,                0.37053,                0.69779,                0.28656,                0.93544,              0.0001634,              0.0001634,              0.0001634
                    206,                0.43158,                0.98439,                0.43452,                0.98113,                0.93965,                0.97222,                0.95478,                0.87418,                0.93965,                0.97222,                0.95478,                 0.8372,                0.36148,                0.68237,                0.28362,                 0.9413,             0.00016175,             0.00016175,             0.00016175
                    207,                0.40597,                0.90839,                0.39011,                0.93914,                0.93957,                0.97222,                0.96922,                0.91399,                0.93957,                0.97222,                0.96922,                0.85132,                 0.3465,                0.62843,                0.29885,                0.93277,              0.0001601,              0.0001601,              0.0001601
                    208,                0.48509,                 1.2281,                 0.4568,                 0.9981,                0.93978,                0.97222,                0.97008,                0.90306,                0.93978,                0.97222,                0.97008,                0.85423,                0.34366,                0.63132,                0.29306,                0.93373,             0.00015845,             0.00015845,             0.00015845
                    209,                 0.3846,                0.87089,                 0.3618,                0.92116,                0.94032,                0.97222,                0.96867,                0.90221,                0.94032,                0.97222,                0.96867,                 0.8458,                0.34883,                0.61831,                0.29827,                0.93364,              0.0001568,              0.0001568,              0.0001568
                    210,                0.43007,                0.97084,                0.41293,                0.98617,                0.94035,                0.97222,                0.94826,                 0.8714,                0.94035,                0.97222,                0.94826,                0.83322,                0.35199,                0.68913,                0.30154,                0.93441,             0.00015515,             0.00015515,             0.00015515
                    211,                0.40291,                 0.9953,                0.38824,                0.96818,                 0.9401,                0.97222,                0.94744,                 0.8704,                 0.9401,                0.97222,                0.94744,                0.84105,                0.34308,                0.70022,                0.31236,                0.92591,              0.0001535,              0.0001535,              0.0001535
                    212,                0.42621,                0.99213,                0.38424,                0.97878,                0.93904,                0.97222,                0.94878,                0.87566,                0.93904,                0.97222,                0.94878,                0.83583,                0.35072,                0.70465,                0.31912,                0.93154,             0.00015185,             0.00015185,             0.00015185
                    213,                0.39587,                0.87569,                0.41401,                0.94567,                0.93809,                0.97222,                0.97051,                0.87932,                0.93809,                0.97222,                0.97051,                0.86573,                0.35277,                0.74783,                  0.316,                 0.9421,              0.0001502,              0.0001502,              0.0001502
                    214,                 0.4199,                0.96677,                 0.3923,                0.97537,                0.93923,                0.97222,                0.97074,                0.88412,                0.93923,                0.97222,                0.97074,                0.85917,                0.36282,                0.72217,                0.31217,                0.93999,             0.00014855,             0.00014855,             0.00014855
                    215,                 0.3968,                0.91095,                0.36317,                0.95084,                0.94025,                0.97222,                0.95582,                0.89816,                0.94025,                0.97222,                0.95582,                0.84677,                0.34689,                0.65943,                0.31318,                0.92223,              0.0001469,              0.0001469,              0.0001469
