                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                0.73848,                 1.7058,                0.77036,                 1.1733,                0.98398,                0.90347,                0.96412,                0.85031,                0.98398,                0.90347,                0.96412,                0.80265,                0.50333,                  1.031,                0.60582,                 1.0586,             0.00046205,             0.00046205,             0.00046205
                     25,                 0.7406,                 1.6904,                0.76218,                 1.1588,                0.97056,                0.90028,                0.97833,                0.86735,                0.86789,                0.94335,                0.92156,                0.81401,                0.49996,                 1.5962,                0.68316,                 1.0841,              0.0004604,              0.0004604,              0.0004604
                     26,                0.75327,                 1.4577,                0.77615,                 1.1514,                0.97689,                0.97222,                0.97556,                0.83919,                0.94756,                0.94444,                0.92107,                0.75763,                0.52943,                 1.3278,                0.67825,                  1.076,             0.00045875,             0.00045875,             0.00045875
                     27,                0.79927,                 2.2044,                0.92476,                 1.2321,                0.86031,                0.97344,                0.95214,                0.76297,                0.83161,                0.94444,                0.89937,                0.64061,                0.54944,                 2.0166,                0.85685,                 1.0877,              0.0004571,              0.0004571,              0.0004571
                     28,                0.81115,                 1.9853,                0.90952,                  1.198,                0.94644,                0.88636,                0.94531,                0.75201,                0.89382,                0.83223,                0.84965,                 0.6586,                0.55573,                 1.2296,                0.71972,                 1.2182,             0.00045545,             0.00045545,             0.00045545
                     29,                0.75911,                 1.8622,                0.90182,                 1.1827,                0.99018,                0.97222,                0.97104,                0.79435,                0.99018,                0.97222,                0.97104,                0.75406,                 0.5508,                0.80211,                0.63768,                  1.116,              0.0004538,              0.0004538,              0.0004538
                     30,                0.76044,                 1.7926,                0.89327,                 1.2249,                0.86622,                0.90972,                0.91464,                0.69782,                0.86622,                0.90972,                0.91464,                0.73496,                0.59815,                0.73747,                0.71445,                 1.1189,             0.00045215,             0.00045215,             0.00045215
                     31,                0.74161,                 1.7608,                0.85263,                 1.1761,                0.92519,                0.97222,                0.96473,                0.77564,                0.92519,                0.97222,                0.96473,                 0.8232,                0.62078,                0.65792,                0.60879,                 1.1495,              0.0004505,              0.0004505,              0.0004505
                     32,                0.71233,                 1.8437,                0.80615,                 1.1646,                0.95784,                0.97222,                0.96939,                0.80264,                0.93051,                0.94444,                0.91331,                0.69707,                 0.5424,                 1.1535,                 0.5367,                 1.1665,             0.00044885,             0.00044885,             0.00044885
                     33,                0.75395,                 2.0704,                0.89297,                 1.1894,                0.98796,                0.97222,                0.97165,                0.81173,                0.95889,                0.94444,                0.93371,                0.77808,                0.68589,                 1.1496,                0.65991,                 1.2006,              0.0004472,              0.0004472,              0.0004472
